,uid,d,t,x,y
0,0,1,0,22.0,5.0
1,0,1,1,20.0,3.0
2,0,1,2,20.0,4.0
3,0,1,3,22.0,5.0
4,0,1,4,20.0,6.0
5,0,1,5,21.0,4.0
6,0,1,6,19.0,4.0
7,0,1,7,17.0,4.0
8,0,1,8,17.0,5.0
9,0,1,9,15.0,5.0
10,0,1,10,15.0,4.0
11,0,1,11,14.0,5.0
12,0,1,12,16.0,3.0
13,0,1,13,17.0,3.0
14,0,1,14,18.0,1.0
15,0,1,15,19.0,3.0
16,0,1,16,17.0,3.0
17,0,1,17,19.0,3.0
18,0,1,18,19.0,2.0
19,0,1,19,18.0,3.0
20,0,1,20,19.0,3.0
21,0,1,21,21.0,5.0
22,0,1,22,23.0,4.0
23,0,1,23,24.0,4.0
24,0,1,24,23.0,4.0
25,0,1,25,24.0,6.0
26,0,1,26,22.0,7.0
27,0,1,27,22.0,8.0
28,0,1,28,24.0,10.0
29,0,1,29,23.0,9.0
30,0,1,30,22.0,10.0
31,0,1,31,22.0,11.0
32,0,1,32,20.0,13.0
33,0,1,33,21.0,14.0
34,0,1,34,19.0,16.0
35,0,1,35,19.0,18.0
36,0,1,36,19.0,20.0
37,0,1,37,21.0,21.0
38,0,1,38,20.0,22.0
39,0,1,39,22.0,22.0
40,0,1,40,21.0,20.0
41,0,1,41,19.0,18.0
42,0,1,42,17.0,16.0
43,0,1,43,18.0,15.0
44,0,1,44,19.0,13.0
45,0,1,45,20.0,12.0
46,0,1,46,18.0,11.0
47,0,1,47,19.0,11.0
48,0,2,0,20.0,13.0
49,0,2,1,18.0,12.0
50,0,2,2,17.0,14.0
51,0,2,3,17.0,15.0
52,0,2,4,19.0,13.0
53,0,2,5,17.0,15.0
54,0,2,6,15.0,16.0
55,0,2,7,13.0,14.0
56,0,2,8,12.0,14.0
57,0,2,9,13.0,13.0
58,0,2,10,13.0,12.0
59,0,2,11,14.0,11.0
60,0,2,12,15.0,10.0
61,0,2,13,17.0,12.0
62,0,2,14,18.0,12.0
63,0,2,15,17.0,11.0
64,0,2,16,16.0,10.0
65,0,2,17,17.0,10.0
66,0,2,18,18.0,9.0
67,0,2,19,20.0,7.0
68,0,2,20,19.0,6.0
69,0,2,21,19.0,4.0
70,0,2,22,19.0,2.0
71,0,2,23,18.0,3.0
72,0,2,24,17.0,1.0
73,0,2,25,15.0,0.0
74,0,2,26,17.0,0.0
75,0,2,27,16.0,1.0
76,0,2,28,16.0,3.0
77,0,2,29,17.0,1.0
78,0,2,30,17.0,0.0
79,0,2,31,15.0,0.0
80,0,2,32,17.0,2.0
81,0,2,33,15.0,4.0
82,0,2,34,14.0,5.0
83,0,2,35,16.0,3.0
84,0,2,36,18.0,3.0
85,0,2,37,20.0,2.0
86,0,2,38,21.0,4.0
87,0,2,39,19.0,4.0
88,0,2,40,17.0,3.0
89,0,2,41,18.0,1.0
90,0,2,42,16.0,0.0
91,0,2,43,14.0,1.0
92,0,2,44,13.0,2.0
93,0,2,45,12.0,4.0
94,0,2,46,13.0,6.0
95,0,2,47,15.0,7.0
96,0,3,0,16.0,6.0
97,0,3,1,16.0,6.0
98,0,3,2,18.0,8.0
99,0,3,3,19.0,10.0
100,0,3,4,19.0,10.0
101,0,3,5,18.0,9.0
102,0,3,6,18.0,11.0
103,0,3,7,20.0,11.0
104,0,3,8,20.0,10.0
105,0,3,9,19.0,12.0
106,0,3,10,18.0,13.0
107,0,3,11,17.0,11.0
108,0,3,12,17.0,12.0
109,0,3,13,15.0,12.0
110,0,3,14,15.0,10.0
111,0,3,15,14.0,9.0
112,0,3,16,15.0,10.0
113,0,3,17,17.0,10.0
114,0,3,18,16.0,12.0
115,0,3,19,18.0,11.0
116,0,3,20,19.0,12.0
117,0,3,21,18.0,10.0
118,0,3,22,19.0,10.0
119,0,3,23,19.0,12.0
120,0,3,24,18.0,13.0
121,0,3,25,17.0,13.0
122,0,3,26,17.0,14.0
123,0,3,27,19.0,13.0
124,0,3,28,17.0,14.0
125,0,3,29,18.0,12.0
126,0,3,30,19.0,10.0
127,0,3,31,20.0,9.0
128,0,3,32,21.0,7.0
129,0,3,33,19.0,6.0
130,0,3,34,21.0,4.0
131,0,3,35,20.0,6.0
132,0,3,36,21.0,4.0
133,0,3,37,19.0,3.0
134,0,3,38,17.0,1.0
135,0,3,39,17.0,1.0
136,0,3,40,18.0,1.0
137,0,3,41,17.0,1.0
138,0,3,42,17.0,3.0
139,0,3,43,16.0,4.0
140,0,3,44,15.0,5.0
141,0,3,45,17.0,4.0
142,0,3,46,17.0,3.0
143,0,3,47,17.0,2.0
144,0,4,0,18.0,0.0
145,0,4,1,16.0,0.0
146,0,4,2,15.0,1.0
147,0,4,3,13.0,0.0
148,0,4,4,15.0,1.0
149,0,4,5,16.0,1.0
150,0,4,6,17.0,1.0
151,0,4,7,15.0,1.0
152,0,4,8,14.0,1.0
153,0,4,9,15.0,0.0
154,0,4,10,14.0,1.0
155,0,4,11,16.0,2.0
156,0,4,12,18.0,1.0
157,0,4,13,18.0,3.0
158,0,4,14,19.0,4.0
159,0,4,15,17.0,6.0
160,0,4,16,18.0,8.0
161,0,4,17,18.0,6.0
162,0,4,18,20.0,4.0
163,0,4,19,18.0,4.0
164,0,4,20,17.0,5.0
165,0,4,21,15.0,6.0
166,0,4,22,13.0,6.0
167,0,4,23,13.0,8.0
168,0,4,24,12.0,9.0
169,0,4,25,10.0,9.0
170,0,4,26,8.0,8.0
171,0,4,27,7.0,8.0
172,0,4,28,5.0,10.0
173,0,4,29,7.0,9.0
174,0,4,30,6.0,8.0
175,0,4,31,8.0,8.0
176,0,4,32,9.0,6.0
177,0,4,33,7.0,4.0
178,0,4,34,5.0,3.0
179,0,4,35,5.0,4.0
180,0,4,36,7.0,5.0
181,0,4,37,6.0,7.0
182,0,4,38,4.0,7.0
183,0,4,39,5.0,8.0
184,0,4,40,4.0,10.0
185,0,4,41,2.0,8.0
186,0,4,42,4.0,9.0
187,0,4,43,3.0,10.0
188,0,4,44,3.0,11.0
189,0,4,45,4.0,12.0
190,0,4,46,3.0,14.0
191,0,4,47,1.0,15.0
192,0,5,0,1.0,15.0
193,0,5,1,0.0,16.0
194,0,5,2,1.0,16.0
195,0,5,3,2.0,14.0
196,0,5,4,0.0,12.0
197,0,5,5,0.0,14.0
198,0,5,6,1.0,12.0
199,0,5,7,3.0,11.0
200,0,5,8,2.0,11.0
201,0,5,9,0.0,13.0
202,0,5,10,0.0,11.0
203,0,5,11,0.0,10.0
204,0,5,12,2.0,8.0
205,0,5,13,3.0,8.0
206,0,5,14,5.0,10.0
207,0,5,15,3.0,10.0
208,0,5,16,5.0,9.0
209,0,5,17,3.0,9.0
210,0,5,18,4.0,10.0
211,0,5,19,5.0,8.0
212,0,5,20,6.0,6.0
213,0,5,21,4.0,4.0
214,0,5,22,5.0,3.0
215,0,5,23,3.0,3.0
216,0,5,24,4.0,4.0
217,0,5,25,5.0,5.0
218,0,5,26,7.0,3.0
219,0,5,27,8.0,3.0
220,0,5,28,6.0,5.0
221,0,5,29,4.0,5.0
222,0,5,30,4.0,6.0
223,0,5,31,2.0,5.0
224,0,5,32,4.0,5.0
225,0,5,33,3.0,5.0
226,0,5,34,3.0,3.0
227,0,5,35,1.0,5.0
228,0,5,36,2.0,6.0
229,0,5,37,0.0,4.0
230,0,5,38,0.0,6.0
231,0,5,39,2.0,8.0
232,0,5,40,0.0,7.0
233,0,5,41,1.0,9.0
234,0,5,42,0.0,10.0
235,0,5,43,0.0,10.0
236,0,5,44,0.0,8.0
237,0,5,45,0.0,7.0
238,0,5,46,0.0,9.0
239,0,5,47,1.0,9.0
240,0,6,0,1.0,10.0
241,0,6,1,2.0,11.0
242,0,6,2,1.0,13.0
243,0,6,3,1.0,15.0
244,0,6,4,2.0,15.0
245,0,6,5,4.0,16.0
246,0,6,6,2.0,17.0
247,0,6,7,4.0,18.0
248,0,6,8,6.0,19.0
249,0,6,9,6.0,21.0
250,0,6,10,6.0,22.0
251,0,6,11,4.0,22.0
252,0,6,12,2.0,24.0
253,0,6,13,1.0,24.0
254,0,6,14,1.0,22.0
255,0,6,15,0.0,20.0
256,0,6,16,1.0,19.0
257,0,6,17,3.0,21.0
258,0,6,18,2.0,19.0
259,0,6,19,1.0,18.0
260,0,6,20,1.0,18.0
261,0,6,21,2.0,19.0
262,0,6,22,4.0,19.0
263,0,6,23,3.0,21.0
264,0,6,24,3.0,23.0
265,0,6,25,5.0,22.0
266,0,6,26,7.0,21.0
267,0,6,27,8.0,22.0
268,0,6,28,10.0,21.0
269,0,6,29,8.0,20.0
270,0,6,30,8.0,19.0
271,0,6,31,8.0,17.0
272,0,6,32,10.0,17.0
273,0,6,33,10.0,15.0
274,0,6,34,8.0,14.0
275,0,6,35,10.0,13.0
276,0,6,36,8.0,11.0
277,0,6,37,6.0,11.0
278,0,6,38,6.0,9.0
279,0,6,39,6.0,9.0
280,0,6,40,6.0,7.0
281,0,6,41,5.0,5.0
282,0,6,42,3.0,5.0
283,0,6,43,4.0,7.0
284,0,6,44,2.0,5.0
285,0,6,45,2.0,3.0
286,0,6,46,1.0,2.0
287,0,6,47,0.0,4.0
288,0,7,0,2.0,2.0
289,0,7,1,3.0,4.0
290,0,7,2,4.0,4.0
291,0,7,3,6.0,4.0
292,0,7,4,5.0,4.0
293,0,7,5,7.0,5.0
294,0,7,6,7.0,3.0
295,0,7,7,9.0,2.0
296,0,7,8,9.0,4.0
297,0,7,9,9.0,5.0
298,0,7,10,11.0,4.0
299,0,7,11,10.0,2.0
300,0,7,12,12.0,0.0
301,0,7,13,12.0,2.0
302,0,7,14,14.0,4.0
303,0,7,15,12.0,3.0
304,0,7,16,14.0,4.0
305,0,7,17,14.0,2.0
306,0,7,18,16.0,3.0
307,0,7,19,18.0,3.0
308,0,7,20,16.0,3.0
309,0,7,21,16.0,4.0
310,0,7,22,15.0,2.0
311,0,7,23,17.0,3.0
312,0,7,24,18.0,4.0
313,0,7,25,18.0,2.0
314,0,7,26,17.0,1.0
315,0,7,27,16.0,2.0
316,0,7,28,17.0,4.0
317,0,7,29,16.0,5.0
318,0,7,30,14.0,4.0
319,0,7,31,13.0,6.0
320,0,7,32,11.0,7.0
321,0,7,33,10.0,8.0
322,0,7,34,10.0,9.0
323,0,7,35,10.0,10.0
324,0,7,36,10.0,12.0
325,0,7,37,10.0,12.0
326,0,7,38,8.0,10.0
327,0,7,39,10.0,10.0
328,0,7,40,8.0,10.0
329,0,7,41,10.0,8.0
330,0,7,42,12.0,7.0
331,0,7,43,13.0,8.0
332,0,7,44,12.0,7.0
333,0,7,45,13.0,8.0
334,0,7,46,14.0,9.0
335,0,7,47,13.0,8.0
336,0,8,0,11.0,6.0
337,0,8,1,9.0,5.0
338,0,8,2,9.0,5.0
339,0,8,3,11.0,5.0
340,0,8,4,11.0,6.0
341,0,8,5,11.0,7.0
342,0,8,6,13.0,8.0
343,0,8,7,11.0,9.0
344,0,8,8,10.0,8.0
345,0,8,9,10.0,8.0
346,0,8,10,9.0,8.0
347,0,8,11,7.0,8.0
348,0,8,12,6.0,8.0
349,0,8,13,6.0,8.0
350,0,8,14,6.0,6.0
351,0,8,15,4.0,5.0
352,0,8,16,4.0,5.0
353,0,8,17,6.0,6.0
354,0,8,18,4.0,5.0
355,0,8,19,6.0,7.0
356,0,8,20,5.0,9.0
357,0,8,21,3.0,10.0
358,0,8,22,2.0,10.0
359,0,8,23,3.0,9.0
360,0,8,24,4.0,9.0
361,0,8,25,6.0,11.0
362,0,8,26,6.0,11.0
363,0,8,27,6.0,9.0
364,0,8,28,6.0,7.0
365,0,8,29,6.0,9.0
366,0,8,30,4.0,10.0
367,0,8,31,4.0,11.0
368,0,8,32,2.0,12.0
369,0,8,33,1.0,11.0
370,0,8,34,1.0,13.0
371,0,8,35,2.0,13.0
372,0,8,36,0.0,15.0
373,0,8,37,0.0,14.0
374,0,8,38,2.0,14.0
375,0,8,39,1.0,12.0
376,0,8,40,1.0,12.0
377,0,8,41,2.0,14.0
378,0,8,42,1.0,12.0
379,0,8,43,1.0,12.0
380,0,8,44,1.0,14.0
381,0,8,45,0.0,14.0
382,0,8,46,2.0,13.0
383,0,8,47,2.0,13.0
384,0,9,0,4.0,12.0
385,0,9,1,3.0,12.0
386,0,9,2,5.0,10.0
387,0,9,3,5.0,8.0
388,0,9,4,7.0,10.0
389,0,9,5,6.0,10.0
390,0,9,6,4.0,9.0
391,0,9,7,6.0,9.0
392,0,9,8,8.0,11.0
393,0,9,9,6.0,11.0
394,0,9,10,5.0,11.0
395,0,9,11,4.0,10.0
396,0,9,12,6.0,11.0
397,0,9,13,7.0,13.0
398,0,9,14,7.0,15.0
399,0,9,15,5.0,17.0
400,0,9,16,7.0,16.0
401,0,9,17,6.0,17.0
402,0,9,18,7.0,16.0
403,0,9,19,9.0,14.0
404,0,9,20,10.0,16.0
405,0,9,21,9.0,18.0
406,0,9,22,9.0,20.0
407,0,9,23,8.0,21.0
408,0,9,24,8.0,20.0
409,0,9,25,8.0,21.0
410,0,9,26,8.0,20.0
411,0,9,27,7.0,21.0
412,0,9,28,8.0,22.0
413,0,9,29,10.0,24.0
414,0,9,30,9.0,22.0
415,0,9,31,9.0,23.0
416,0,9,32,8.0,22.0
417,0,9,33,8.0,21.0
418,0,9,34,6.0,21.0
419,0,9,35,8.0,23.0
420,0,9,36,9.0,21.0
421,0,9,37,9.0,23.0
422,0,9,38,10.0,21.0
423,0,9,39,11.0,20.0
424,0,9,40,12.0,19.0
425,0,9,41,10.0,20.0
426,0,9,42,9.0,20.0
427,0,9,43,8.0,22.0
428,0,9,44,9.0,20.0
429,0,9,45,10.0,18.0
430,0,9,46,12.0,20.0
431,0,9,47,13.0,19.0
432,0,10,0,14.0,17.0
433,0,10,1,16.0,15.0
434,0,10,2,18.0,17.0
435,0,10,3,18.0,19.0
436,0,10,4,19.0,19.0
437,0,10,5,18.0,19.0
438,0,10,6,16.0,17.0
439,0,10,7,14.0,17.0
440,0,10,8,14.0,18.0
441,0,10,9,14.0,20.0
442,0,10,10,14.0,19.0
443,0,10,11,16.0,20.0
444,0,10,12,14.0,19.0
445,0,10,13,16.0,21.0
446,0,10,14,15.0,19.0
447,0,10,15,13.0,19.0
448,0,10,16,11.0,18.0
449,0,10,17,13.0,19.0
450,0,10,18,12.0,17.0
451,0,10,19,13.0,15.0
452,0,10,20,14.0,16.0
453,0,10,21,16.0,17.0
454,0,10,22,15.0,18.0
455,0,10,23,14.0,16.0
456,0,10,24,15.0,17.0
457,0,10,25,16.0,16.0
458,0,10,26,18.0,18.0
459,0,10,27,16.0,16.0
460,0,10,28,17.0,14.0
461,0,10,29,19.0,14.0
462,0,10,30,20.0,13.0
463,0,10,31,20.0,11.0
464,0,10,32,21.0,9.0
465,0,10,33,19.0,10.0
466,0,10,34,20.0,12.0
467,0,10,35,20.0,11.0
468,0,10,36,22.0,11.0
469,0,10,37,22.0,11.0
470,0,10,38,22.0,12.0
471,0,10,39,23.0,14.0
472,0,10,40,21.0,16.0
473,0,10,41,20.0,15.0
474,0,10,42,22.0,16.0
475,0,10,43,23.0,18.0
476,0,10,44,24.0,20.0
477,0,10,45,24.0,18.0
478,0,10,46,22.0,16.0
479,0,10,47,23.0,16.0
480,0,11,0,24.0,14.0
481,0,11,1,22.0,16.0
482,0,11,2,23.0,15.0
483,0,11,3,24.0,16.0
484,0,11,4,23.0,15.0
485,0,11,5,23.0,17.0
486,0,11,6,23.0,18.0
487,0,11,7,24.0,18.0
488,0,11,8,22.0,16.0
489,0,11,9,23.0,17.0
490,0,11,10,21.0,17.0
